epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3626.21,0.84436,0.87801,1.28668,0.81562,0.77593,0.86061,0.61815,0.99876,0.8017,1.37926,0.00121591,0.00121591,0.00121591
43,3705.99,0.87213,0.85563,1.3144,0.75939,0.87293,0.86941,0.58396,1.10852,0.80716,1.45349,0.00120491,0.00120491,0.00120491
44,3784.55,0.85218,0.89678,1.30018,0.77869,0.85247,0.89014,0.60211,1.02313,0.77561,1.43095,0.00119391,0.00119391,0.00119391
45,3864.07,0.84713,0.84053,1.28438,0.76595,0.78239,0.87069,0.61834,0.97907,0.8266,1.35853,0.0011829,0.0011829,0.0011829
46,3950.55,0.83724,0.85702,1.29302,0.71554,0.79312,0.83461,0.59486,1.02828,0.85681,1.41286,0.0011719,0.0011719,0.0011719
47,4037.97,0.85398,0.83485,1.29962,0.71172,0.80353,0.80734,0.56752,1.01565,0.92954,1.39536,0.0011609,0.0011609,0.0011609
48,4121.82,0.83942,0.83079,1.28512,0.78991,0.78766,0.87853,0.61607,1.00828,0.79794,1.38914,0.0011499,0.0011499,0.0011499
49,4201.64,0.83046,0.81321,1.27638,0.76629,0.77722,0.83188,0.59239,1.00897,0.87818,1.39853,0.00113889,0.00113889,0.00113889
50,4278.94,0.82772,0.81551,1.28083,0.83019,0.78307,0.8764,0.58733,1.17194,0.8947,1.52566,0.00112789,0.00112789,0.00112789
51,4354.06,0.83068,0.82229,1.28493,0.75233,0.78889,0.83259,0.60751,0.99112,0.90507,1.37571,0.00111689,0.00111689,0.00111689
52,4427,0.81629,0.80464,1.26767,0.82693,0.71114,0.85428,0.59821,1.03363,0.90464,1.405,0.00110589,0.00110589,0.00110589
53,4505.89,0.82462,0.80488,1.27243,0.83925,0.71384,0.85328,0.58025,1.05472,0.86978,1.40138,0.00109489,0.00109489,0.00109489
54,4584.55,0.81315,0.76952,1.26917,0.77605,0.81929,0.85843,0.60121,1.09155,0.84246,1.44166,0.00108388,0.00108388,0.00108388
55,4663.57,0.81292,0.77602,1.25721,0.85714,0.77087,0.86999,0.62534,1.02923,0.78723,1.41922,0.00107288,0.00107288,0.00107288
56,4745.36,0.79938,0.76535,1.25845,0.78763,0.81684,0.86621,0.60683,1.04237,0.87507,1.41694,0.00106188,0.00106188,0.00106188
57,4825.85,0.81349,0.76619,1.26903,0.83352,0.73623,0.82651,0.57847,1.1154,0.91553,1.47973,0.00105088,0.00105088,0.00105088
58,4903.45,0.80893,0.78318,1.26371,0.69506,0.82915,0.8432,0.59998,1.06437,0.83722,1.44943,0.00103987,0.00103987,0.00103987
59,4985.92,0.81162,0.76334,1.25884,0.81241,0.82263,0.86611,0.59564,1.07174,0.86064,1.45425,0.00102887,0.00102887,0.00102887
60,5064.57,0.78821,0.76412,1.25366,0.75121,0.80708,0.84406,0.60321,0.98067,0.82721,1.36669,0.00101787,0.00101787,0.00101787
61,5146.81,0.78348,0.74207,1.23659,0.73759,0.77205,0.83838,0.61364,1.01325,0.82974,1.3782,0.00100687,0.00100687,0.00100687
62,5226.2,0.79445,0.75273,1.24917,0.81819,0.73348,0.84816,0.60895,0.94463,0.85559,1.3479,0.000995866,0.000995866,0.000995866
